Boat Type,Class,Club,Country,Place,Distance,Race Number,Time (s),Time,Round,ResultsPage,RoundNr,RoundSummary
V1,Master 60 Women,CAMERINI Maria Cristina,Brazil,6,500,001,194.96,3:14.96,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,Heat
V1,Master 60 Women,DURBAN Mel,Canada,1,500,001,167.13,2:47.13,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,Heat
V1,Master 60 Women,FENGER Sue,USA,7,500,001,199.6,3:19.60,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,Heat
V1,Master 60 Women,GURTLER Suzette,Hawai'i,5,500,001,185.85,3:05.85,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,Heat
V1,Master 60 Women,HORNBY Suzy,Great Britain,8,500,001,200.29,3:20.29,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,Heat
V1,Master 60 Women,PATTEL Kerry,Australia,4,500,001,183.47,3:03.47,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,Heat
V1,Master 60 Women,RASMUSSEN Jenny,Australia,2,500,001,180.23,3:00.23,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,Heat
V1,Master 60 Women,TATA-HENRY Gillian,New Zealand,3,500,001,182.58,3:02.58,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,Heat
V1,Master 60 Women,ASTON Mihi,New Zealand,4,500,002,186.88,3:06.88,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,1,Heat
V1,Master 60 Women,CHRISTENSEN Lynn,Hawai'i,1,500,002,177.17,2:57.17,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,1,Heat
V1,Master 60 Women,MARSHALL Jay,USA,6,500,002,193.46,3:13.46,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,1,Heat
V1,Master 60 Women,PHINNEY Mary Lou,Canada,3,500,002,186.38,3:06.38,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,1,Heat
V1,Master 60 Women,RUDE Teresa Cristina,Brazil,7,500,002,209.69,3:29.69,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,1,Heat
V1,Master 60 Women,THORPE Sarah,New Zealand,5,500,002,192.43,3:12.43,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,1,Heat
V1,Master 60 Women,WEISS Vanessa,Hawai'i,2,500,002,183.53,3:03.53,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,1,Heat
V1,Master 60 Women,DAVISON June,Great Britain,7,500,003,206.91,3:26.91,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/003,1,Heat
V1,Master 60 Women,DRESBACH Linda,USA,6,500,003,206.5,3:26.50,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/003,1,Heat
V1,Master 60 Women,KRUSZELNICKI Helen,Great Britain,4,500,003,183.66,3:03.66,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/003,1,Heat
V1,Master 60 Women,O'NEILL Christine,Canada,5,500,003,205.24,3:25.24,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/003,1,Heat
V1,Master 60 Women,ROCHA ZULEIA,Brazil,1,500,003,176.23,2:56.23,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/003,1,Heat
V1,Master 60 Women,STEWART Ngahieki,New Zealand,3,500,003,181.55,3:01.55,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/003,1,Heat
V1,Master 60 Women,WILLIAMS Anne,Australia,2,500,003,180.31,3:00.31,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/003,1,Heat
V6,Elite Men,Aotearoa Nz,New Zealand,1,500,004,110.46,1:50.46,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/004,1,Heat
V6,Elite Men,Brazil,Brazil,3,500,004,114.31,1:54.31,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/004,1,Heat
V6,Elite Men,Canada,Canada,4,500,004,120.7,2:00.70,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/004,1,Heat
V6,Elite Men,Germany,Germany,6,500,004,124.73,2:04.73,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/004,1,Heat
V6,Elite Men,Hawaii - Lanikai,Hawai'i,2,500,004,113.72,1:53.72,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/004,1,Heat
V6,Elite Men,HERE TAINA,Chile,5,500,004,120.83,2:00.83,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/004,1,Heat
V6,Elite Men,France,France,1,500,005,116.85,1:56.85,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/005,1,Heat
V6,Elite Men,Great Britain,Great Britain,3,500,005,121.85,2:01.85,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/005,1,Heat
V6,Elite Men,New Caledonia,New Caledonia,2,500,005,119.92,1:59.92,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/005,1,Heat
V6,Elite Men,Panama,Panama,4,500,005,122.23,2:02.23,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/005,1,Heat
V6,Elite Men,Singapore,Singapore,5,500,005,125.03,2:05.03,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/005,1,Heat
V6,Elite Men,USA,USA,6,500,005,125.38,2:05.38,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/005,1,Heat
V6,Elite Women,Aotearoa Nz,New Zealand,1,500,006,129.64,2:09.64,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/006,1,Heat
V6,Elite Women,Brazil,Brazil,3,500,006,140.39,2:20.39,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/006,1,Heat
V6,Elite Women,Germany,Germany,5,500,006,143.43,2:23.43,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/006,1,Heat
V6,Elite Women,Hawaii - Outrigger,Hawai'i,2,500,006,132.63,2:12.63,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/006,1,Heat
V6,Elite Women,Singapore,Singapore,4,500,006,141.08,2:21.08,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/006,1,Heat
V6,Elite Women,Canada,Canada,2,500,007,141.29,2:21.29,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/007,1,Heat
V6,Elite Women,Great Britain,Great Britain,1,500,007,138.54,2:18.54,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/007,1,Heat
V6,Elite Women,HERE TAINA,Chile,4,500,007,165.94,2:45.94,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/007,1,Heat
V6,Elite Women,USA,USA,3,500,007,147.89,2:27.89,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/007,1,Heat
V1,Master 60 Men,"","",DNS,500,008,,"",Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,1,Heat
V1,Master 60 Men,KARLS Tommy,Sweden,1,500,008,161.03,2:41.03,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,1,Heat
V1,Master 60 Men,MATTHEWS Mike,Singapore,4,500,008,171.8,2:51.80,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,1,Heat
V1,Master 60 Men,MC BRIDE Jeff,Hawai'i,2,500,008,165.83,2:45.83,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,1,Heat
V1,Master 60 Men,NEPIA Tahi,New Zealand,6,500,008,174.17,2:54.17,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,1,Heat
V1,Master 60 Men,SMITH Tim,Great Britain,3,500,008,171.34,2:51.34,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,1,Heat
V1,Master 60 Men,SOOLE Shane,Australia,5,500,008,173.79,2:53.79,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,1,Heat
V1,Master 60 Men,"","",DNS,500,009,,"",Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,Heat
V1,Master 60 Men,BELL Mark,Australia,5,500,009,181.82,3:01.82,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,Heat
V1,Master 60 Men,FUHRMANN Marek,Germany,3,500,009,162.18,2:42.18,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,Heat
V1,Master 60 Men,KING Thadius,USA,6,500,009,188.66,3:08.66,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,Heat
V1,Master 60 Men,KRUSZELNICKI Peter,Great Britain,2,500,009,161.51,2:41.51,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,Heat
V1,Master 60 Men,MARTINS VLADIMIR,Brazil,DQ,500,009,175.09,2:55.09,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,Heat
V1,Master 60 Men,MCLELLAN Pat,Canada,4,500,009,166.61,2:46.61,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,Heat
V1,Master 60 Men,THOMAS George,New Zealand,1,500,009,158.18,2:38.18,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,Heat
V1,Master 60 Men,"","",DNS,500,010,,"",Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,Heat
V1,Master 60 Men,BAILEY Claude,Great Britain,1,500,010,165.64,2:45.64,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,Heat
V1,Master 60 Men,COLE Steve,Hawai'i,2,500,010,168.94,2:48.94,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,Heat
V1,Master 60 Men,FOSTER Lee,Australia,6,500,010,184.94,3:04.94,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,Heat
V1,Master 60 Men,HESTIN CHRISTIAN,France,4,500,010,182.98,3:02.98,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,Heat
V1,Master 60 Men,OLIVEIRA Edson,Brazil,5,500,010,183.55,3:03.55,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,Heat
V1,Master 60 Men,SCHEIB John,USA,7,500,010,231.34,3:51.34,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,Heat
V1,Master 60 Men,VARNEL Rob,Canada,3,500,010,175.23,2:55.23,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,Heat
V1,Master 60 Men,BAUMANN Roger,Germany,5,500,011,175.83,2:55.83,Heat 4 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/011,1,Heat
