Boat Type,Class,Club,Country,Place,Distance,Race Number,Time (s),Time,Round,ResultsPage
V1,Junior 16 Men,"BERRIOS QUEZADA, Esteban",Chile,5,500,61,163.95,02:44.0,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/061
V1,Junior 16 Men,"CAMPBELL, Maia",New Zealand,1,500,61,143.22,02:23.2,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/061
V1,Junior 16 Men,"CAMPBELL, Maia",New Zealand,1,500,147,143.38,02:23.4,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/147
V1,Junior 16 Men,"COVARRUBIAS CIFUENTES, Tristan",Chile,8,500,60,170.77,02:50.8,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/060
V1,Junior 16 Men,"DIOGO, Victor",Brazil,DQ,500,61,158.46,02:38.5,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/061
V1,Junior 16 Men,"GOMES, Eduardo",Brazil,1,500,60,147.05,02:27.1,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/060
V1,Junior 16 Men,"GOMES, Eduardo",Brazil,4,500,147,147.28,02:27.3,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/147
V1,Junior 16 Men,"KIYUNA, 'Eha",Hawai'i,4,500,60,153.56,02:33.6,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/060
V1,Junior 16 Men,"KIYUNA, 'Eha",Hawai'i,7,500,147,152.92,02:32.9,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/147
V1,Junior 16 Men,"KONOHIA, Sig La'akea",Hawai'i,3,500,61,147.65,02:27.7,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/061
V1,Junior 16 Men,"KONOHIA, Sig La'akea",Hawai'i,5,500,147,148.39,02:28.4,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/147
V1,Junior 16 Men,"LAITITI, Tanoa",Hawai'i,6,500,61,167.91,02:47.9,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/061
V1,Junior 16 Men,"MORGAN, Khy",Australia,7,500,61,176.98,02:57.0,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/061
V1,Junior 16 Men,"MOTTERSHEAD, Tyler",Canada,4,500,61,156.08,02:36.1,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/061
V1,Junior 16 Men,"MOTTERSHEAD, Tyler",Canada,8,500,147,158.38,02:38.4,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/147
V1,Junior 16 Men,"RETI, Elite",New Zealand,2,500,61,143.34,02:23.3,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/061
V1,Junior 16 Men,"RETI, Elite",New Zealand,2,500,147,144.31,02:24.3,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/147
V1,Junior 16 Men,"SEWARD, Joseph",Canada,7,500,60,170.67,02:50.7,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/060
V1,Junior 16 Men,"SOTO, Kane",New Zealand,2,500,60,147.21,02:27.2,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/060
V1,Junior 16 Men,"SOTO, Kane",New Zealand,3,500,147,146.52,02:26.5,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/147
V1,Junior 16 Men,"SOUSA, Marcos Vinicius",Brazil,6,500,60,167.12,02:47.1,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/060
V1,Junior 16 Men,"SUTTON-MACMILLAN, Callum",Canada,5,500,60,157.67,02:37.7,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/060
V1,Junior 16 Men,"TOLOA, Marlin",New Zealand,3,500,60,152.79,02:32.8,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/060
V1,Junior 16 Men,"TOLOA, Marlin",New Zealand,6,500,147,152.44,02:32.4,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/147
V1,Junior 16 Women,"BROOKING, Hinekahukura",New Zealand,3,500,111,177.47,02:57.5,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/111
V1,Junior 16 Women,"BROOKING, Hinekahukura",New Zealand,3,500,148,163.12,02:43.1,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/148
V1,Junior 16 Women,"CAREY, Maka",Hawai'i,5,500,111,187,03:07.0,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/111
V1,Junior 16 Women,"CROWE, Jessica",Australia,5,500,110,186.65,03:06.7,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/110
V1,Junior 16 Women,"MAKUA, Kahiau",Hawai'i,4,500,110,183.77,03:03.8,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/110
V1,Junior 16 Women,"MAKUA, Kahiau",Hawai'i,6,500,148,168.66,02:48.7,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/148
V1,Junior 16 Women,"MORETE, Taylynn",New Zealand,1,500,148,159.79,02:39.8,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/148
V1,Junior 16 Women,"MORETE, Taylynn",New Zealand,2,500,111,175.06,02:55.1,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/111
V1,Junior 16 Women,"MORRIS, Sakora",Canada,6,500,110,193.49,03:13.5,Heat  1/1,https://www.liveresults.co.nz/competition/438/schedule/race/110
V1,Junior 16 Women,"MUÑOZ GONZALEZ, Belen",Chile,4,500,111,183.15,03:03.2,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/111
V1,Junior 16 Women,"MUÑOZ GONZALEZ, Belen",Chile,8,500,148,175.14,02:55.1,Final ,https://www.liveresults.co.nz/competition/438/schedule/race/148
V1,Junior 16 Women,"PANG, Gerricka",Hawai'i,7,500,111,223.07,03:43.1,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/111
V1,Junior 16 Women,"PIRIPI, Waitangi",New Zealand,1,500,111,174.41,02:54.4,Heat  2/2,https://www.liveresults.co.nz/competition/438/schedule/race/111
