Race Number,Class,Boat Type,Distance,Round,ResultsPage,Place,Club,Country,Time,Time (s)
001,Master 60 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,1,DURBAN Mel,Canada,2:47.13,167.13
001,Master 60 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,2,RASMUSSEN Jenny,Australia,3:00.23,180.23
001,Master 60 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,3,TATA-HENRY Gillian,New Zealand,3:02.58,182.58
001,Master 60 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,4,PATTEL Kerry,Australia,3:03.47,183.47
001,Master 60 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,5,GURTLER Suzette,Hawai'i,3:05.85,185.85
001,Master 60 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,6,CAMERINI Maria Cristina,Brazil,3:14.96,194.96
001,Master 60 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,7,FENGER Sue,USA,3:19.60,199.6
001,Master 60 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/001,8,HORNBY Suzy,Great Britain,3:20.29,200.29
002,Master 60 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,1,CHRISTENSEN Lynn,Hawai'i,2:57.17,177.17
002,Master 60 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,2,WEISS Vanessa,Hawai'i,3:03.53,183.53
002,Master 60 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,3,PHINNEY Mary Lou,Canada,3:06.38,186.38
002,Master 60 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,4,ASTON Mihi,New Zealand,3:06.88,186.88
002,Master 60 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,5,THORPE Sarah,New Zealand,3:12.43,192.43
002,Master 60 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,6,MARSHALL Jay,USA,3:13.46,193.46
002,Master 60 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/002,7,RUDE Teresa Cristina,Brazil,3:29.69,209.69
003,Master 60 Women,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/003,1,ROCHA ZULEIA,Brazil,2:56.23,176.23
